fingerprint,ipaddr,port,stix_pattern,label_name,label_color,marking_type,marking_value,marking_priority
36A1268AAE18DD6D5CA940023B8ECD34A7A2EA97,2a12:a800:2:1:45:141:215:114,8430,[ipv6-addr:value = '2a12:a800:2:1:45:141:215:114' AND network-traffic:src_port = 8430],tor,#57C101,TLP,TLP:CLEAR,1
36D68478366CB8627866757EBCE7FB3C17FC1CB8,2620:7:6001::ffff:c759:e659,80,[ipv6-addr:value = '2620:7:6001::ffff:c759:e659' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
36DA42ED1B9D34F085F2E08698BEF46457B3C26F,2a0b:f4c2:1::139,20139,[ipv6-addr:value = '2a0b:f4c2:1::139' AND network-traffic:src_port = 20139],tor,#57C101,TLP,TLP:CLEAR,1
370B11DDF7BD68A79A8D40157F129844EE828ECA,2a0d:bbc7::f816:3eff:fe5d:4413,989,[ipv6-addr:value = '2a0d:bbc7::f816:3eff:fe5d:4413' AND network-traffic:src_port = 989],tor,#57C101,TLP,TLP:CLEAR,1
3732F75E2129635E4CA18C39FC872B0582E3BB4D,2a12:a800:9:1:45:83:31:79,7430,[ipv6-addr:value = '2a12:a800:9:1:45:83:31:79' AND network-traffic:src_port = 7430],tor,#57C101,TLP,TLP:CLEAR,1
376DC7CAD597D3A4CBB651999CFAD0E77DC9AE8C,2605:6400:30:f78b::2,443,[ipv6-addr:value = '2605:6400:30:f78b::2' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
37926FCBEE45062286EAA4A5DE8D010EA3E7D2D8,2001:67c:289c:2::35,81,[ipv6-addr:value = '2001:67c:289c:2::35' AND network-traffic:src_port = 81],tor,#57C101,TLP,TLP:CLEAR,1
379CF0DA31DE7E68F6871A53270BC35A15DF6F99,2a03:94e0:ffff:185:181:61:0:203,443,[ipv6-addr:value = '2a03:94e0:ffff:185:181:61:0:203' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
37C25C1E9CA9F4872D536D084EDDA57F66B43435,2a03:e600:100::9,8080,[ipv6-addr:value = '2a03:e600:100::9' AND network-traffic:src_port = 8080],tor,#57C101,TLP,TLP:CLEAR,1
3809938D5786CD2886C856578316AE3FF62FCCBD,2620:18c:0:192::e0:215,443,[ipv6-addr:value = '2620:18c:0:192::e0:215' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
3824C4A2EDF5067A76EA2BFDC6CF064D1863A311,2001:67c:289c:2::35,9051,[ipv6-addr:value = '2001:67c:289c:2::35' AND network-traffic:src_port = 9051],tor,#57C101,TLP,TLP:CLEAR,1
383DB26B4684EC88C95B413827A2BE89720B096D,2001:67c:e60:c0c:192:42:116:203,9003,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:203' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
38414349727B47C7CFDCD4D1051AC86592A24DA8,2001:67c:e60:c0c:192:42:116:184,9001,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:184' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
3863FD538658F6671631E78CEBB2693FB42DFA7D,2a03:4000:6:102b:c457:f3ff:feb0:a6d0,9100,[ipv6-addr:value = '2a03:4000:6:102b:c457:f3ff:feb0:a6d0' AND network-traffic:src_port = 9100],tor,#57C101,TLP,TLP:CLEAR,1
386CF08197DAD89418025300E7893C6D0F7BEB08,2a12:a800:2:1:45:141:215:227,7430,[ipv6-addr:value = '2a12:a800:2:1:45:141:215:227' AND network-traffic:src_port = 7430],tor,#57C101,TLP,TLP:CLEAR,1
389D1570908D17CD6A2A1A827694F2003AD094B0,2a12:a800:2:1:185:241:208:71,9100,[ipv6-addr:value = '2a12:a800:2:1:185:241:208:71' AND network-traffic:src_port = 9100],tor,#57C101,TLP,TLP:CLEAR,1
392BEFDCB026A568E077786E79FDE589A9C0E451,2a12:a800:1:1:194:26:192:77,9000,[ipv6-addr:value = '2a12:a800:1:1:194:26:192:77' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
393C3DB2EF81C469CC80A982CC31570423829099,2a12:a800:2:1:45:141:215:227,143,[ipv6-addr:value = '2a12:a800:2:1:45:141:215:227' AND network-traffic:src_port = 143],tor,#57C101,TLP,TLP:CLEAR,1
3960E28DFC659F2A15A3F4E987A8D064A3C64CA4,2001:67c:e60:c0c:192:42:116:199,9000,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:199' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
3973A678C480CEE5E93268A1F9C2543C03B1E3CC,2a06:1700:0:12::1,9005,[ipv6-addr:value = '2a06:1700:0:12::1' AND network-traffic:src_port = 9005],tor,#57C101,TLP,TLP:CLEAR,1
39AB5907ECDCFC754E970C0FA132D29240ED0FB1,2a0b:f4c2:2::57,10057,[ipv6-addr:value = '2a0b:f4c2:2::57' AND network-traffic:src_port = 10057],tor,#57C101,TLP,TLP:CLEAR,1
39C819EC299FD555DD57FFF64B2EC15F305E3990,2a02:c204:2263:5153::1,8100,[ipv6-addr:value = '2a02:c204:2263:5153::1' AND network-traffic:src_port = 8100],tor,#57C101,TLP,TLP:CLEAR,1
39CACE2705E7C7343FC0EA246CA84B523379E04B,2001:67c:e60:c0c:192:42:116:192,9005,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:192' AND network-traffic:src_port = 9005],tor,#57C101,TLP,TLP:CLEAR,1
39CE03A66016B0D69BC6C2A1F362C628436FEF7B,2a03:4000:62:8:c855:23ff:fef6:50ee,7100,[ipv6-addr:value = '2a03:4000:62:8:c855:23ff:fef6:50ee' AND network-traffic:src_port = 7100],tor,#57C101,TLP,TLP:CLEAR,1
39E65B9F813312D1B932246163A0B8D4E14625CF,2a12:a800:11:1:124:198:131:114,7100,[ipv6-addr:value = '2a12:a800:11:1:124:198:131:114' AND network-traffic:src_port = 7100],tor,#57C101,TLP,TLP:CLEAR,1
3A05E35BB1E59F318B684A7470B742785AEB0783,2a06:1700:0:12::1,9003,[ipv6-addr:value = '2a06:1700:0:12::1' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
3A1BC65DF03ECD50FDF7CFF9C5A4E049FCB9C1AF,2620:7:6001::179,80,[ipv6-addr:value = '2620:7:6001::179' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
3A1D935A569938763AFBBB40E783ED7C99F0BB78,2605:6400:20:12b7:4ea2:4422:e11e:adcd,9001,[ipv6-addr:value = '2605:6400:20:12b7:4ea2:4422:e11e:adcd' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
3A282FE698A04D83511D526A525F2C45896454AC,2a12:a800:9:1:193:26:115:61,110,[ipv6-addr:value = '2a12:a800:9:1:193:26:115:61' AND network-traffic:src_port = 110],tor,#57C101,TLP,TLP:CLEAR,1
