fingerprint,ipaddr,port,stix_pattern,label_name,label_color,marking_type,marking_value,marking_priority
CA7924873CFD3CC56A8501135245019B40B68F61,2001:67c:e28:1::101,9001,[ipv6-addr:value = '2001:67c:e28:1::101' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CA9B7C6DD2898DBEF9797A5EE3EE42D528370869,2a0c:5700:3133:1705:be24:11ff:fe37:3cb,989,[ipv6-addr:value = '2a0c:5700:3133:1705:be24:11ff:fe37:3cb' AND network-traffic:src_port = 989],tor,#57C101,TLP,TLP:CLEAR,1
CAA2BB7232F98457D3B4D2D2EAE62C1460C37651,2a00:63c1:10:41::2,443,[ipv6-addr:value = '2a00:63c1:10:41::2' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CAB14F4F4671083AD60992A8AB6B129C7E8E4BCF,2a02:4780:2d:2e42::1,443,[ipv6-addr:value = '2a02:4780:2d:2e42::1' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CAD88DF1318F952D0981427FF27DAF89DF9DFE4A,2a12:a800:2:1:45:141:215:200,143,[ipv6-addr:value = '2a12:a800:2:1:45:141:215:200' AND network-traffic:src_port = 143],tor,#57C101,TLP,TLP:CLEAR,1
CAF2B5F700DF3A4730E63D25228B4B3AEABA38CE,2a00:b700::3:33,443,[ipv6-addr:value = '2a00:b700::3:33' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CAFB3DB90DE5B01836E81271381E06218DD769A9,2a12:a800:11:1:124:198:131:191,7100,[ipv6-addr:value = '2a12:a800:11:1:124:198:131:191' AND network-traffic:src_port = 7100],tor,#57C101,TLP,TLP:CLEAR,1
CB1816F95D43D6805230ED63326E88B0D4A7ABD7,2604:2dc0:202:300::cd0,22,[ipv6-addr:value = '2604:2dc0:202:300::cd0' AND network-traffic:src_port = 22],tor,#57C101,TLP,TLP:CLEAR,1
CB2D614E5CDB06693C20ECD83DE297C4CAA69C8E,2001:41d0:303:8f52::1,9500,[ipv6-addr:value = '2001:41d0:303:8f52::1' AND network-traffic:src_port = 9500],tor,#57C101,TLP,TLP:CLEAR,1
CB68894ECC86E3074C15C4FE2EECEB6313E0F7DB,2a14:7581:9f20:1512::119,9001,[ipv6-addr:value = '2a14:7581:9f20:1512::119' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CB81470343E29DF2406AD8D9365EB5D091238F1A,2a03:e600:100::68,9001,[ipv6-addr:value = '2a03:e600:100::68' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CB939C70996534AB70A4BABDB46F16E37EA14EDC,2a0f:5707:aaf1:b8cf::1,9001,[ipv6-addr:value = '2a0f:5707:aaf1:b8cf::1' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBADA5E3187F22256E292AC054C40B71C0D9EE9E,2407:3641:2259:8208::1,7430,[ipv6-addr:value = '2407:3641:2259:8208::1' AND network-traffic:src_port = 7430],tor,#57C101,TLP,TLP:CLEAR,1
CBADEDA0DECBD9961A87B74449E8C9958A681F1A,2a0b:f4c2::22,9001,[ipv6-addr:value = '2a0b:f4c2::22' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBB1D64A64085AA0BC71CE592CBE5BBCFD738FBF,2a0f:85c1:356:1b63::1,9007,[ipv6-addr:value = '2a0f:85c1:356:1b63::1' AND network-traffic:src_port = 9007],tor,#57C101,TLP,TLP:CLEAR,1
CBB4183DFC94E6809786F6F3CD86B1F3ADD47F2B,2001:41d0:305:2100::b6da,9001,[ipv6-addr:value = '2001:41d0:305:2100::b6da' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBBA40F7D9F284F47A243EE2C081E96682741D22,2a01:4f8:150:508a:a62c:457:6b0c:a1f9,9001,[ipv6-addr:value = '2a01:4f8:150:508a:a62c:457:6b0c:a1f9' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBC24A50338BF8D79D3872BCD5383156097A519A,2a0b:f4c2:1::144,10144,[ipv6-addr:value = '2a0b:f4c2:1::144' AND network-traffic:src_port = 10144],tor,#57C101,TLP,TLP:CLEAR,1
CBCA0D732C95AF4F6A37DCCC4879105E426B80C9,2a0c:e300:b:b::b,9001,[ipv6-addr:value = '2a0c:e300:b:b::b' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBCC187E025CAEC4C876C76C53DE8153733508FB,2a03:4000:10:5a:e889:a0ff:fed2:e913,443,[ipv6-addr:value = '2a03:4000:10:5a:e889:a0ff:fed2:e913' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CBCC85F335E20705F791CFC8685951C90E24134D,2a0c:4d00:2:8::2,9001,[ipv6-addr:value = '2a0c:4d00:2:8::2' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CBD05C5E1EC91AD648B2BE16EC909024F2F096B0,2a11:840:51:1b::5b43:19b6,443,[ipv6-addr:value = '2a11:840:51:1b::5b43:19b6' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CBF59EC5B9FD108092AE9149EFDAE41F882DA669,2a00:1169:119:b120::,80,[ipv6-addr:value = '2a00:1169:119:b120::' AND network-traffic:src_port = 80],tor,#57C101,TLP,TLP:CLEAR,1
CBFD3B3032BFB9C2F8B21A0CD0D4E7D098A6317B,2001:67c:e28:1::3,9001,[ipv6-addr:value = '2001:67c:e28:1::3' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CC004E20B4E30D42B3BA1A1661640C50611112F5,2001:67c:e60:c0c:192:42:116:185,9001,[ipv6-addr:value = '2001:67c:e60:c0c:192:42:116:185' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CC0EB5E62E75E138283C233DAEBAA3615E1DC894,2a0d:bbc7::f816:3eff:fe77:3729,995,[ipv6-addr:value = '2a0d:bbc7::f816:3eff:fe77:3729' AND network-traffic:src_port = 995],tor,#57C101,TLP,TLP:CLEAR,1
CC0ED1D3BFC7D688F33D967FBA82045AAE2790CE,2a06:1700:0:12::2,9001,[ipv6-addr:value = '2a06:1700:0:12::2' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CC11CFF453EAF54B4FB50C02AB69A5140923F6AD,2a03:e600:100::68,8080,[ipv6-addr:value = '2a03:e600:100::68' AND network-traffic:src_port = 8080],tor,#57C101,TLP,TLP:CLEAR,1
CC35759105BF490120B6A6EE6786CC15C3590F33,2a00:7b80:452:3000::24,9003,[ipv6-addr:value = '2a00:7b80:452:3000::24' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
CC4C9EA474DD47A30B67301C8F66B3D4B953AAEB,2001:67c:289c:4::82,81,[ipv6-addr:value = '2001:67c:289c:4::82' AND network-traffic:src_port = 81],tor,#57C101,TLP,TLP:CLEAR,1
CC77E50FA0CE5E9D105B51BD239689F1E62A71E3,2a10:c800:1:7d50::1,28503,[ipv6-addr:value = '2a10:c800:1:7d50::1' AND network-traffic:src_port = 28503],tor,#57C101,TLP,TLP:CLEAR,1
CC8412A0CE31C55CFBF32CBA8EA5C05348846C3F,2a03:4000:27:36:c813:6dff:fe0e:b93e,9000,[ipv6-addr:value = '2a03:4000:27:36:c813:6dff:fe0e:b93e' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
CCA99738D64ECF8E2D478FABA9D38EDAE6B5DCFD,2a12:a800:2:1:45:80:158:75,9100,[ipv6-addr:value = '2a12:a800:2:1:45:80:158:75' AND network-traffic:src_port = 9100],tor,#57C101,TLP,TLP:CLEAR,1
CCA9A02B5F05CDA0B9255C10E4E8545B486AA741,2602:f6f6:2:3637::1,9003,[ipv6-addr:value = '2602:f6f6:2:3637::1' AND network-traffic:src_port = 9003],tor,#57C101,TLP,TLP:CLEAR,1
CCB9811F4B48A10D95DB41C19521DE64DA431A4D,2001:67c:289c::20,81,[ipv6-addr:value = '2001:67c:289c::20' AND network-traffic:src_port = 81],tor,#57C101,TLP,TLP:CLEAR,1
CCCFD8D5FD21AC796234D914F1B7CC33ADCE52F8,2605:6400:30:f38b:28b3:cd24:51f3:e412,9100,[ipv6-addr:value = '2605:6400:30:f38b:28b3:cd24:51f3:e412' AND network-traffic:src_port = 9100],tor,#57C101,TLP,TLP:CLEAR,1
CCE3352A5F1DFFB82DF2BE637EB3B1A048D224FB,2620:18c:0:192::e0:203,443,[ipv6-addr:value = '2620:18c:0:192::e0:203' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CCEDFCC870D7720FC349B66D8828B9D1E27F89CE,2400:8907::f03c:92ff:feb6:19e3,443,[ipv6-addr:value = '2400:8907::f03c:92ff:feb6:19e3' AND network-traffic:src_port = 443],tor,#57C101,TLP,TLP:CLEAR,1
CD09CD7C7F8815B37210C7D1A628599C78D22D6D,2a0b:f4c0:16c:7::1,9000,[ipv6-addr:value = '2a0b:f4c0:16c:7::1' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
CD0A02B890BD37AB32F148FE5A59A85447AD98FD,2603:c022:c005:d7a9:e055:b5a1:fe7c:63ba,9001,[ipv6-addr:value = '2603:c022:c005:d7a9:e055:b5a1:fe7c:63ba' AND network-traffic:src_port = 9001],tor,#57C101,TLP,TLP:CLEAR,1
CD17409340BBBDD84B3D525B4BF45B227D4D736F,2602:f915:f:3b43::1,9000,[ipv6-addr:value = '2602:f915:f:3b43::1' AND network-traffic:src_port = 9000],tor,#57C101,TLP,TLP:CLEAR,1
